,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
163,163,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,6.0,3.0,48000,Xiphorhynchus guttatus,0.945300817489624,Buff-throated Woodcreeper
165,165,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.5920693874359131,Buff-throated Woodcreeper
166,166,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,15.0,3.0,48000,Xiphorhynchus guttatus,0.903182566165924,Buff-throated Woodcreeper
167,167,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,18.0,3.0,48000,Xiphorhynchus guttatus,0.970837950706482,Buff-throated Woodcreeper
169,169,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,24.0,3.0,48000,Xiphorhynchus guttatus,0.9531306624412536,Buff-throated Woodcreeper
171,171,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.7250955700874329,Buff-throated Woodcreeper
172,172,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.8041902184486389,Buff-throated Woodcreeper
176,176,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,45.0,3.0,48000,Xiphorhynchus guttatus,0.6417599320411682,Buff-throated Woodcreeper
177,177,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,48.0,3.0,48000,Xiphorhynchus guttatus,0.6668604016304016,Buff-throated Woodcreeper
178,178,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,51.0,3.0,48000,Xiphorhynchus guttatus,0.8273253440856934,Buff-throated Woodcreeper
180,180,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,57.0,3.0,48000,Xiphorhynchus guttatus,0.972971498966217,Buff-throated Woodcreeper
185,185,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,72.0,3.0,48000,Xiphorhynchus guttatus,0.5907686948776245,Buff-throated Woodcreeper
186,186,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,75.0,3.0,48000,Xiphorhynchus guttatus,0.9588562846183776,Buff-throated Woodcreeper
188,188,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,81.0,3.0,48000,Xiphorhynchus guttatus,0.7706606984138489,Buff-throated Woodcreeper
191,191,./../all_10_species/,XC342833 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,95.32083333333334,0,90.0,3.0,48000,Xiphorhynchus guttatus,0.7074708938598633,Buff-throated Woodcreeper
193,193,./../all_10_species/,XC236250 - Pale-breasted Thrush - Turdus leucomelas albiventer.mp3,44.930625,0,0.0,3.0,48000,Turdus leucomelas,0.7084624767303467,Pale-breasted Thrush
208,208,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,0.0,3.0,48000,Trogon viridis,0.9679195284843444,Green-backed Trogon
209,209,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,3.0,3.0,48000,Trogon viridis,0.8936929702758789,Green-backed Trogon
212,212,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,12.0,3.0,48000,Trogon viridis,0.5366682410240173,Green-backed Trogon
213,213,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,15.0,3.0,48000,Trogon viridis,0.6451917886734009,Green-backed Trogon
215,215,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,21.0,3.0,48000,Trogon viridis,0.7538712024688721,Green-backed Trogon
216,216,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,24.0,3.0,48000,Trogon viridis,0.9298517107963562,Green-backed Trogon
217,217,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,27.0,3.0,48000,Trogon viridis,0.5213478207588196,Green-backed Trogon
219,219,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,33.0,3.0,48000,Trogon viridis,0.7938194870948792,Green-backed Trogon
220,220,./../all_10_species/,XC74289 - Green-backed Trogon - Trogon viridis.mp3,42.412333333333336,0,36.0,3.0,48000,Trogon viridis,0.7624915242195129,Green-backed Trogon
224,224,./../all_10_species/,XC43491 - Slate-throated Whitestart - Myioborus miniatus.mp3,9.978791666666666,0,6.0,3.0,48000,Myioborus miniatus,0.8254859447479248,Slate-throated Whitestart
225,225,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,0.0,3.0,48000,Turdus leucomelas,0.9388299584388732,Pale-breasted Thrush
227,227,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,6.0,3.0,48000,Turdus leucomelas,0.5201215744018555,Pale-breasted Thrush
228,228,./../all_10_species/,XC212057 - Pale-breasted Thrush - Turdus leucomelas.mp3,16.1175625,0,9.0,3.0,48000,Turdus leucomelas,0.5156349539756775,Pale-breasted Thrush
