FILENAME;CLIP LENGTH;Start (s);End (s);Scientific name;Common name;Confidence
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;27.0;30.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.35609287
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;30.0;33.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9819772
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;30.0;33.0;Pardirallus nigricans;Blackish Rail;0.44255525
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;36.0;39.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.60367054
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-15880.wav;43.49389583333333;36.0;39.0;Pardirallus nigricans;Blackish Rail;0.54421985
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.90959114
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;0.0;3.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.42115885
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.8419958
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;3.0;6.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.56641227
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9260458
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;6.0;9.0;Pyrrhura melanura;Maroon-tailed Parakeet;0.17988963
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.95957935
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;12.0;15.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9652364
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;12.0;15.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.4412427
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;18.0;21.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.72784126
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186356.wav;21.852;18.0;21.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.25078213
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186358.wav;7.032;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.88266027
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186358.wav;7.032;0.0;3.0;Blythipicus rubiginosus;Maroon Woodpecker;0.12535125
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-186358.wav;7.032;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.7064982
